Tiempo[ms],RED,IR,GREEN,Clase
78,276.0,237.0,58.0,Clase 1
47797,273.0,236.0,59.0,Clase 1
47917,271.0,234.0,56.0,Clase 1
48036,275.0,236.0,60.0,Clase 1
48155,272.0,235.0,58.0,Clase 1
48275,272.0,232.0,59.0,Clase 1
48396,272.0,235.0,60.0,Clase 1
48514,273.0,231.0,55.0,Clase 1
48633,272.0,233.0,56.0,Clase 1
48754,273.0,232.0,57.0,Clase 1
48872,274.0,230.0,57.0,Clase 1
48992,271.0,230.0,57.0,Clase 1
49113,275.0,230.0,57.0,Clase 1
49230,275.0,229.0,58.0,Clase 1
49350,271.0,228.0,56.0,Clase 1
49471,273.0,230.0,58.0,Clase 1
49589,274.0,229.0,59.0,Clase 1
49709,272.0,230.0,58.0,Clase 1
49829,273.0,228.0,57.0,Clase 1
49949,276.0,229.0,60.0,Clase 1
50067,272.0,229.0,54.0,Clase 1
50188,273.0,231.0,58.0,Clase 1
50308,274.0,227.0,58.0,Clase 1
50425,272.0,229.0,58.0,Clase 1
50546,271.0,229.0,59.0,Clase 1
50666,271.0,229.0,59.0,Clase 1
50785,275.0,229.0,59.0,Clase 1
50905,272.0,227.0,56.0,Clase 1
51024,270.0,227.0,58.0,Clase 1
51143,273.0,227.0,59.0,Clase 1
51263,274.0,229.0,59.0,Clase 1
51383,273.0,231.0,56.0,Clase 2
51502,273.0,229.0,60.0,Clase 2
51621,274.0,232.0,58.0,Clase 2
51741,273.0,226.0,58.0,Clase 2
51860,269.0,228.0,60.0,Clase 2
51980,271.0,229.0,56.0,Clase 2
52100,276.0,230.0,57.0,Clase 2
52218,271.0,228.0,59.0,Clase 2
52338,275.0,231.0,55.0,Clase 2
52458,271.0,229.0,55.0,Clase 2
52577,270.0,228.0,54.0,Clase 2
124,272.0,227.0,56.0,Clase 2
244,275.0,227.0,57.0,Clase 2
364,272.0,225.0,62.0,Clase 3
483,272.0,227.0,60.0,Clase 3
603,273.0,225.0,58.0,Clase 3
722,273.0,227.0,53.0,Clase 3
840,273.0,226.0,55.0,Clase 3
961,271.0,226.0,56.0,Clase 3
1081,273.0,225.0,57.0,Clase 3
1201,274.0,228.0,58.0,Clase 3
1318,274.0,227.0,59.0,Clase 3
1439,275.0,224.0,57.0,Clase 3
1559,274.0,228.0,55.0,Clase 3
1677,272.0,229.0,57.0,Clase 3
1798,272.0,225.0,60.0,Clase 3
1917,273.0,225.0,59.0,Clase 3
2035,273.0,226.0,56.0,Clase 3
2156,271.0,227.0,58.0,Clase 3
2276,274.0,236.0,58.0,Clase 3
2396,278.0,248.0,60.0,Clase 3
2513,280.0,250.0,60.0,Clase 3
2634,279.0,249.0,57.0,Clase 3
2754,279.0,247.0,55.0,Clase 3
2872,278.0,248.0,58.0,Clase 3
2993,280.0,245.0,57.0,Clase 3
3112,281.0,249.0,56.0,Clase 3
3230,275.0,247.0,57.0,Clase 3
3350,277.0,251.0,58.0,Clase 3
3471,278.0,251.0,56.0,Clase 3
3591,280.0,249.0,58.0,Clase 3
3708,277.0,247.0,58.0,Clase 3
3829,279.0,247.0,57.0,Clase 3
3949,281.0,248.0,58.0,Clase 3
4067,275.0,249.0,59.0,Clase 3
4188,277.0,247.0,59.0,Clase 3
4307,280.0,246.0,59.0,Clase 3
4425,277.0,251.0,58.0,Clase 3
4545,278.0,251.0,56.0,Clase 3
4666,279.0,249.0,57.0,Clase 3
4786,279.0,247.0,59.0,Clase 3
4903,278.0,249.0,60.0,Clase 3
5024,280.0,249.0,56.0,Clase 3
5144,277.0,248.0,56.0,Clase 3
5262,281.0,263.0,57.0,Clase 3
5382,283.0,261.0,57.0,Clase 3
5502,284.0,255.0,57.0,Clase 3
5620,280.0,244.0,57.0,Clase 3
5740,278.0,240.0,56.0,Clase 3
5861,280.0,250.0,56.0,Clase 3
5981,281.0,271.0,59.0,Clase 3
6098,276.0,255.0,59.0,Clase 3
6219,279.0,261.0,58.0,Clase 3
6339,276.0,252.0,57.0,Clase 3
6457,277.0,252.0,57.0,Clase 3
6577,276.0,251.0,57.0,Clase 3
6697,280.0,257.0,58.0,Clase 3
6815,278.0,261.0,57.0,Clase 3
6935,274.0,257.0,55.0,Clase 3
7056,279.0,250.0,58.0,Clase 3
7176,277.0,240.0,59.0,Clase 3
7293,272.0,232.0,58.0,Clase 3
7414,276.0,227.0,56.0,Clase 3
7534,270.0,222.0,57.0,Clase 3
7652,266.0,213.0,52.0,Clase 3
7772,269.0,211.0,57.0,Clase 3
7892,265.0,203.0,56.0,Clase 3
8010,264.0,205.0,56.0,Clase 3
8130,262.0,204.0,56.0,Clase 3
8251,267.0,204.0,55.0,Clase 3
8371,264.0,208.0,55.0,Clase 3
8488,314.0,264.0,58.0,Clase 3
8609,336.0,273.0,58.0,Clase 3
8729,336.0,338.0,62.0,Clase 3
8847,475.0,669.0,114.0,Clase 3
8968,2574.0,6548.0,366.0,Clase 3
9088,2622.0,3029.0,171.0,Clase 3
9205,2498.0,3614.0,176.0,Clase 3
9326,1611.0,1497.0,115.0,Clase 3
9444,1459.0,4778.0,412.0,Clase 3
9565,7715.0,9713.0,849.0,Clase 3
9684,8471.0,5957.0,334.0,Clase 3
9803,4276.0,11179.0,923.0,Clase 3
9923,2555.0,780.0,65.0,Clase 3
10044,260.0,185.0,57.0,Clase 3
10162,251.0,183.0,56.0,Clase 3
10281,255.0,191.0,57.0,Clase 3
10402,257.0,187.0,56.0,Clase 3
10520,253.0,182.0,57.0,Clase 3
10640,254.0,185.0,61.0,Clase 3
10761,249.0,176.0,53.0,Clase 3
10878,246.0,181.0,57.0,Clase 3
10998,248.0,179.0,57.0,Clase 3
11119,246.0,178.0,52.0,Clase 3
11237,247.0,180.0,58.0,Clase 3
11357,246.0,178.0,58.0,Clase 3
11478,247.0,184.0,56.0,Clase 3
11595,245.0,185.0,57.0,Clase 3
11715,244.0,178.0,55.0,Clase 3
11836,251.0,182.0,57.0,Clase 3
11954,248.0,668.0,284.0,Clase 3
12075,14957.0,34726.0,1583.0,Clase 3
12194,29376.0,37244.0,1837.0,Clase 3
12313,29532.0,37523.0,1917.0,Clase 3
12433,29682.0,37565.0,1950.0,Clase 3
12552,29697.0,37535.0,1976.0,Clase 3
12673,29638.0,37368.0,2005.0,Clase 3
12791,29675.0,37472.0,2038.0,Clase 3
12911,29793.0,37652.0,2075.0,Clase 3
13030,29804.0,37640.0,2077.0,Clase 3
13150,29759.0,37637.0,2080.0,Clase 3
13268,29732.0,37640.0,2081.0,Clase 3
13389,29724.0,37646.0,2084.0,Clase 3
13507,29694.0,37569.0,2078.0,Clase 3
13628,29663.0,37531.0,2064.0,Clase 3
13747,29650.0,37516.0,2062.0,Clase 3
13867,29652.0,37536.0,2074.0,Clase 3
13987,29657.0,37556.0,2083.0,Clase 3
14106,29651.0,37533.0,2084.0,Clase 3
14226,29625.0,37519.0,2083.0,Clase 3
14345,29615.0,37531.0,2093.0,Clase 3
14466,29611.0,37462.0,2074.0,Clase 3
14583,29564.0,37387.0,2058.0,Clase 3
14704,29527.0,37397.0,2053.0,Clase 3
14823,29514.0,37369.0,2047.0,Clase 3
14943,29505.0,37388.0,2050.0,Clase 3
15062,29519.0,37467.0,2072.0,Clase 3
15182,29618.0,37654.0,2116.0,Clase 3
15300,29688.0,37776.0,2162.0,Clase 3
15421,29726.0,37720.0,2162.0,Clase 3
15540,29680.0,37701.0,2162.0,Clase 3
15660,29694.0,37696.0,2158.0,Clase 3
15778,29678.0,37674.0,2157.0,Clase 3
15899,29674.0,37692.0,2163.0,Clase 3
16019,29671.0,37704.0,2169.0,Clase 3
16138,29678.0,37720.0,2179.0,Clase 3
16259,29693.0,37745.0,2188.0,Clase 3
16376,29690.0,37728.0,2193.0,Clase 3
16497,29724.0,37784.0,2206.0,Clase 3
16616,29727.0,37796.0,2220.0,Clase 3
16736,29726.0,37795.0,2223.0,Clase 3
16855,29716.0,37802.0,2230.0,Clase 3
16975,29713.0,37816.0,2231.0,Clase 3
17093,29708.0,37823.0,2235.0,Clase 3
17214,29707.0,37814.0,2234.0,Clase 3
17333,29681.0,37772.0,2227.0,Clase 3
17453,29683.0,37785.0,2230.0,Clase 3
17571,29678.0,37780.0,2224.0,Clase 3
17692,29678.0,37792.0,2228.0,Clase 3
17810,29672.0,37802.0,2231.0,Clase 3
17931,29680.0,37815.0,2234.0,Clase 3
18051,29665.0,37807.0,2233.0,Clase 3
18169,29659.0,37791.0,2241.0,Clase 3
18290,29783.0,37923.0,2287.0,Clase 3
18409,29867.0,38018.0,2334.0,Clase 3
18529,29943.0,38223.0,2404.0,Clase 3
18648,30109.0,38542.0,2469.0,Clase 3
18767,30250.0,38774.0,2514.0,Clase 3
18886,30402.0,38949.0,2545.0,Clase 3
19007,30542.0,39241.0,2587.0,Clase 3
19125,30732.0,39584.0,2622.0,Clase 3
19246,31080.0,39867.0,2612.0,Clase 3
19364,31018.0,39847.0,2632.0,Clase 3
19484,30998.0,39883.0,2677.0,Clase 3
19605,31032.0,39945.0,2726.0,Clase 3
19724,31082.0,39952.0,2760.0,Clase 3
19844,31094.0,39927.0,2770.0,Clase 3
19962,31088.0,39838.0,2761.0,Clase 3
20083,31068.0,39809.0,2765.0,Clase 3
20201,31072.0,39750.0,2779.0,Clase 3
20322,31084.0,39743.0,2781.0,Clase 1
20441,31070.0,39750.0,2796.0,Clase 1
20560,31097.0,39779.0,2791.0,Clase 1
20679,31035.0,39692.0,2765.0,Clase 1
20800,31011.0,39673.0,2752.0,Clase 1
20918,31009.0,39688.0,2707.0,Clase 1
21039,31085.0,39974.0,2586.0,Clase 1
21158,31040.0,27762.0,514.0,Clase 1
21277,1587.0,541.0,75.0,Clase 1
21398,480.0,246.0,64.0,Clase 1
21518,397.0,218.0,63.0,Clase 1
21636,382.0,207.0,60.0,Clase 1
21756,381.0,212.0,62.0,Clase 1
21876,376.0,210.0,61.0,Clase 1
21994,399.0,215.0,63.0,Clase 1
22115,400.0,217.0,66.0,Clase 1
22235,396.0,212.0,64.0,Clase 1
22352,392.0,213.0,60.0,Clase 1
22473,402.0,215.0,66.0,Clase 1
22593,405.0,208.0,61.0,Clase 1
22713,386.0,209.0,61.0,Clase 1
22832,376.0,203.0,63.0,Clase 1
22951,358.0,198.0,58.0,Clase 1
23071,364.0,201.0,61.0,Clase 1
23190,362.0,198.0,61.0,Clase 1
23310,359.0,193.0,57.0,Clase 1
23430,364.0,201.0,60.0,Clase 1
23548,364.0,198.0,58.0,Clase 1
23668,363.0,201.0,60.0,Clase 1
23789,360.0,196.0,59.0,Clase 1
23909,357.0,193.0,57.0,Clase 1
24027,355.0,200.0,61.0,Clase 1
24147,355.0,198.0,62.0,Clase 1
24267,361.0,200.0,62.0,Clase 1
24385,368.0,198.0,62.0,Clase 1
24506,364.0,197.0,55.0,Clase 1
24626,377.0,206.0,62.0,Clase 1
24743,383.0,208.0,59.0,Clase 1
24864,395.0,206.0,61.0,Clase 1
24984,401.0,211.0,66.0,Clase 1
25104,416.0,230.0,77.0,Clase 1
25223,931.0,694.0,152.0,Clase 1
25342,2012.0,1136.0,163.0,Clase 1
25463,1943.0,1162.0,187.0,Clase 1
25581,2821.0,2211.0,398.0,Clase 1
25702,6703.0,7294.0,1262.0,Clase 1
25820,23423.0,28952.0,1406.0,Clase 1
25940,27857.0,34505.0,1623.0,Clase 3
26059,29468.0,37387.0,1912.0,Clase 3
26179,30060.0,37928.0,1989.0,Clase 3
26300,30236.0,38048.0,2042.0,Clase 3
26418,30317.0,38130.0,2094.0,Clase 3
26539,30363.0,38159.0,2133.0,Clase 3
26657,30411.0,38257.0,2170.0,Clase 3
26777,30445.0,38271.0,2206.0,Clase 3
26896,30480.0,38320.0,2241.0,Clase 3
27017,30517.0,38345.0,2270.0,Clase 3
27134,30526.0,38397.0,2300.0,Clase 3
27255,30544.0,38390.0,2320.0,Clase 3
27374,30521.0,38386.0,2332.0,Clase 3
27494,30522.0,38349.0,2341.0,Clase 3
27615,30534.0,38374.0,2356.0,Clase 3
27734,30542.0,38401.0,2365.0,Clase 3
27853,30538.0,38369.0,2362.0,Clase 3
27972,30512.0,38373.0,2369.0,Clase 3
28093,30523.0,38372.0,2371.0,Clase 3
28211,30514.0,38394.0,2380.0,Clase 3
28332,30528.0,38429.0,2396.0,Clase 3
28450,30519.0,38375.0,2398.0,Clase 3
28570,30513.0,38388.0,2405.0,Clase 3
28691,30498.0,38372.0,2406.0,Clase 3
28810,30493.0,38386.0,2406.0,Clase 3
28930,30495.0,38389.0,2405.0,Clase 3
29048,30484.0,38385.0,2406.0,Clase 3
29169,30474.0,38381.0,2406.0,Clase 3
29287,30450.0,38259.0,2391.0,Clase 3
29408,30411.0,38205.0,2383.0,Clase 3
29527,30406.0,38220.0,2377.0,Clase 3
29646,30389.0,38202.0,2368.0,Clase 3
29765,30385.0,38216.0,2362.0,Clase 3
29886,30377.0,38237.0,2365.0,Clase 3
30006,30390.0,38271.0,2369.0,Clase 3
30125,30377.0,38262.0,2355.0,Clase 3
30244,30326.0,38210.0,2080.0,Clase 3
30363,11276.0,2542.0,151.0,Clase 2
30484,1058.0,622.0,108.0,Clase 2
30604,954.0,578.0,104.0,Clase 2
30723,916.0,557.0,104.0,Clase 2
30842,959.0,573.0,111.0,Clase 2
30962,1039.0,615.0,115.0,Clase 2
31081,1060.0,620.0,113.0,Clase 2
31201,1057.0,624.0,116.0,Clase 2
31322,1096.0,647.0,121.0,Clase 2
31439,1108.0,641.0,118.0,Clase 2
31560,1111.0,637.0,116.0,Clase 2
31678,1120.0,637.0,116.0,Clase 2
31799,1107.0,635.0,116.0,Clase 2
31919,1119.0,648.0,121.0,Clase 2
32037,1146.0,657.0,119.0,Clase 2
32157,1138.0,648.0,120.0,Clase 2
32277,1156.0,661.0,120.0,Clase 2
32396,1160.0,667.0,122.0,Clase 2
32516,1169.0,664.0,118.0,Clase 2
32636,1166.0,669.0,121.0,Clase 1
32754,1158.0,664.0,122.0,Clase 1
32875,1163.0,661.0,120.0,Clase 1
32995,1169.0,667.0,119.0,Clase 1
33114,1162.0,667.0,124.0,Clase 1
33233,1172.0,673.0,122.0,Clase 1
33353,1148.0,665.0,124.0,Clase 1
33472,1160.0,667.0,123.0,Clase 1
33592,1175.0,676.0,125.0,Clase 1
33713,1178.0,670.0,118.0,Clase 1
33830,1166.0,674.0,124.0,Clase 1
33951,1164.0,659.0,121.0,Clase 1
34071,1143.0,644.0,117.0,Clase 1
34190,1109.0,628.0,120.0,Clase 1
34310,1431.0,987.0,156.0,Clase 1
34429,1718.0,1049.0,159.0,Clase 1
34548,1874.0,1265.0,198.0,Clase 1
34668,2181.0,1287.0,189.0,Clase 1
34787,2032.0,1192.0,182.0,Clase 1
34907,2021.0,1173.0,181.0,Clase 1
35027,2125.0,1412.0,221.0,Clase 1
35145,2661.0,1627.0,222.0,Clase 1
35266,2547.0,1568.0,210.0,Clase 1
35386,2441.0,1482.0,208.0,Clase 1
35505,2495.0,1369.0,213.0,Clase 1
35624,2324.0,1653.0,311.0,Clase 1
35745,3646.0,3086.0,412.0,Clase 1
35863,4839.0,5584.0,707.0,Clase 1
35984,7515.0,10954.0,1241.0,Clase 1
36102,14286.0,19584.0,1804.0,Clase 1
36222,23924.0,28372.0,1984.0,Clase 1
36341,27011.0,32397.0,1920.0,Clase 1
36461,28184.0,33874.0,1942.0,Clase 1
36582,27708.0,33661.0,1975.0,Clase 1
36701,26834.0,31138.0,1991.0,Clase 1
36820,25017.0,27449.0,1987.0,Clase 1
36939,22446.0,23463.0,1820.0,Clase 1
37060,18831.0,18678.0,1570.0,Clase 1
37178,15554.0,14794.0,1356.0,Clase 1
37299,14747.0,14067.0,1153.0,Clase 1
37417,12122.0,10188.0,864.0,Clase 1
37537,8981.0,5990.0,583.0,Clase 1
37658,6492.0,4273.0,567.0,Clase 1
37776,11417.0,14273.0,1089.0,Clase 1
37897,15823.0,14964.0,966.0,Clase 1
38014,14495.0,12093.0,719.0,Clase 1
38135,8825.0,6166.0,570.0,Clase 1
38255,6770.0,4514.0,495.0,Clase 1
38374,5645.0,3481.0,421.0,Clase 1
